                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     76,                0.84199,                 0.8912,                 1.1737,                0.81083,                0.75836,                 0.8295,                0.62388,                0.90788,                0.78751,                 1.1688,               0.002575,               0.002575,               0.002575
                     77,                0.84192,                0.88773,                 1.1718,                0.81138,                0.75851,                0.82947,                0.62392,                0.90785,                0.78701,                 1.1685,               0.002476,               0.002476,               0.002476
                     78,                0.83691,                0.88466,                 1.1691,                0.81178,                0.75793,                0.82953,                0.62412,                0.90793,                0.78647,                 1.1686,               0.002377,               0.002377,               0.002377
                     79,                0.83643,                0.88359,                 1.1705,                0.81219,                0.75641,                 0.8297,                0.62431,                0.90782,                0.78603,                 1.1684,               0.002278,               0.002278,               0.002278
                     80,                0.82844,                0.87002,                 1.1634,                0.81096,                0.75676,                0.82958,                0.62451,                0.90763,                0.78563,                 1.1684,               0.002179,               0.002179,               0.002179
                     81,                0.82871,                0.86074,                 1.1622,                0.80985,                0.75857,                0.82965,                0.62461,                0.90737,                0.78502,                 1.1682,                0.00208,                0.00208,                0.00208
                     82,                0.82025,                0.85822,                 1.1601,                0.80966,                0.75944,                0.82994,                0.62509,                0.90734,                0.78431,                 1.1682,               0.001981,               0.001981,               0.001981
                     83,                0.82062,                0.85244,                 1.1606,                 0.8112,                0.75911,                0.82987,                0.62523,                0.90724,                0.78342,                 1.1681,               0.001882,               0.001882,               0.001882
                     84,                0.82217,                0.84916,                 1.1594,                0.81133,                0.75796,                0.82974,                0.62525,                0.90713,                0.78269,                  1.168,               0.001783,               0.001783,               0.001783
                     85,                 0.8192,                 0.8475,                  1.158,                0.81303,                0.75747,                0.82989,                0.62537,                0.90715,                0.78208,                 1.1681,               0.001684,               0.001684,               0.001684
                     86,                0.81196,                0.84131,                 1.1523,                0.81508,                0.75537,                0.82989,                0.62567,                0.90697,                0.78141,                 1.1678,               0.001585,               0.001585,               0.001585
                     87,                0.81047,                0.83707,                 1.1525,                0.81318,                0.75801,                0.83021,                0.62574,                0.90688,                0.78106,                 1.1677,               0.001486,               0.001486,               0.001486
                     88,                0.80636,                0.82501,                 1.1481,                0.81234,                0.75991,                0.83032,                0.62595,                0.90674,                0.78057,                 1.1676,               0.001387,               0.001387,               0.001387
                     89,                0.80412,                0.82186,                 1.1459,                0.81236,                0.75927,                0.83043,                0.62586,                 0.9067,                 0.7804,                 1.1676,               0.001288,               0.001288,               0.001288
                     90,                0.80013,                 0.8162,                 1.1447,                0.81343,                0.75897,                0.83037,                0.62606,                0.90682,                0.77963,                 1.1679,               0.001189,               0.001189,               0.001189
                     91,                0.80035,                0.81001,                  1.145,                 0.8128,                0.75893,                0.83064,                0.62643,                0.90668,                0.77932,                 1.1678,                0.00109,                0.00109,                0.00109
                     92,                0.79255,                0.80481,                 1.1419,                 0.8133,                0.75931,                 0.8307,                0.62668,                0.90672,                0.77899,                 1.1679,               0.000991,               0.000991,               0.000991
                     93,                0.79144,                0.80171,                 1.1413,                0.81362,                0.75926,                0.83087,                0.62666,                0.90666,                0.77826,                 1.1678,               0.000892,               0.000892,               0.000892
                     94,                0.79217,                0.80296,                   1.14,                0.81451,                0.75871,                 0.8306,                0.62681,                0.90663,                0.77799,                 1.1678,               0.000793,               0.000793,               0.000793
                     95,                0.78646,                0.79329,                 1.1362,                0.81407,                0.75855,                0.83069,                0.62689,                0.90668,                0.77775,                 1.1679,               0.000694,               0.000694,               0.000694
                     96,                0.78378,                0.78928,                 1.1353,                0.81313,                0.75971,                0.83071,                0.62696,                0.90662,                0.77732,                 1.1678,               0.000595,               0.000595,               0.000595
                     97,                0.78508,                 0.7895,                 1.1369,                0.81268,                0.76013,                0.83083,                0.62731,                0.90655,                 0.7771,                 1.1678,               0.000496,               0.000496,               0.000496
                     98,                0.78161,                0.77833,                 1.1329,                  0.814,                0.75846,                0.83079,                0.62749,                0.90664,                0.77659,                 1.1679,               0.000397,               0.000397,               0.000397
                     99,                0.77962,                0.78008,                 1.1331,                0.81493,                0.75827,                0.83074,                0.62767,                0.90659,                0.77641,                 1.1679,               0.000298,               0.000298,               0.000298
